Año	Grupo Antigüedad	Nº Accidentes	Ord_Temporalidad	Temporalidad	Código	Municipio
2020	Más de 10 años	104	1	Indefinido	22125	Huesca
2020	Más de 10 años	5	2	Temporal	22125	Huesca
2020	Más de 10 años	16	3	Sin clasificar	22125	Huesca
2020	Más de 10 años	23	1	Indefinido	22130	Jaca
2020	Más de 10 años	6	3	Sin clasificar	22130	Jaca
2020	Más de 10 años	27	1	Indefinido	22158	Monzón
2020	Más de 10 años	1	2	Temporal	22158	Monzón
2020	Más de 10 años	8	3	Sin clasificar	22158	Monzón
2020	Más de 10 años	11	1	Indefinido	22199	Sabiñánigo
2020	Más de 10 años	3	3	Sin clasificar	22199	Sabiñánigo
2020	Más de 10 años	42	1	Indefinido	44013	Alcañiz
2020	Más de 10 años	3	2	Temporal	44013	Alcañiz
2020	Más de 10 años	9	3	Sin clasificar	44013	Alcañiz
2020	Más de 10 años	8	1	Indefinido	44025	Andorra
2020	Más de 10 años	82	1	Indefinido	44216	Teruel
2020	Más de 10 años	13	2	Temporal	44216	Teruel
2020	Más de 10 años	11	3	Sin clasificar	44216	Teruel
2020	Más de 10 años	7	1	Indefinido	50008	Alagón
2020	Más de 10 años	2	2	Temporal	50008	Alagón
2020	Más de 10 años	10	1	Indefinido	50025	Almunia de Doña Godina (La)
2020	Más de 10 años	4	3	Sin clasificar	50025	Almunia de Doña Godina (La)
2020	Más de 10 años	29	1	Indefinido	50067	Calatayud
2020	Más de 10 años	4	2	Temporal	50067	Calatayud
2020	Más de 10 años	5	3	Sin clasificar	50067	Calatayud
2020	Más de 10 años	10	1	Indefinido	50074	Caspe
2020	Más de 10 años	2	3	Sin clasificar	50074	Caspe
2020	Más de 10 años	35	1	Indefinido	50089	Cuarte de Huerva
2020	Más de 10 años	33	1	Indefinido	50095	Ejea de los Caballeros
2020	Más de 10 años	1	2	Temporal	50095	Ejea de los Caballeros
2020	Más de 10 años	9	3	Sin clasificar	50095	Ejea de los Caballeros
2020	Más de 10 años	5	1	Indefinido	50163	María de Huerva
2020	Más de 10 años	1	2	Temporal	50163	María de Huerva
2020	Más de 10 años	1	3	Sin clasificar	50163	María de Huerva
2020	Más de 10 años	31	1	Indefinido	50182	Muela (La)
2020	Más de 10 años	1	3	Sin clasificar	50182	Muela (La)
2020	Más de 10 años	28	1	Indefinido	50219	Puebla de Alfindén (La)
2020	Más de 10 años	2	2	Temporal	50219	Puebla de Alfindén (La)
2020	Más de 10 años	4	3	Sin clasificar	50219	Puebla de Alfindén (La)
2020	Más de 10 años	19	1	Indefinido	50251	Tarazona
2020	Más de 10 años	1	2	Temporal	50251	Tarazona
2020	Más de 10 años	2	3	Sin clasificar	50251	Tarazona
2020	Más de 10 años	23	1	Indefinido	50252	Tauste
2020	Más de 10 años	3	2	Temporal	50252	Tauste
2020	Más de 10 años	6	3	Sin clasificar	50252	Tauste
2020	Más de 10 años	33	1	Indefinido	50272	Utebo
2020	Más de 10 años	1	2	Temporal	50272	Utebo
2020	Más de 10 años	2	3	Sin clasificar	50272	Utebo
2020	Más de 10 años	1053	1	Indefinido	50297	Zaragoza
